"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
217,248,374,370,221,381,426,218
141,163,292,261,188,239,295,216
77,120,200,224,115,155,645,109
55,92,206,132,81,98,603,105
27,56,182,97,76,135,108,67
64,123,108,34,152,54,38,17
0,37,61,17,59,64,40,11
0,11,28,10,87,4,37,1
0,12,42,14,1,3,63,2
0,0,31,16,24,42,18,1
5,32,58,21,83,90,18,18
62,143,152,88,127,129,98,47
251,305,320,215,250,631,268,165
838,857,566,497,978,1588,631,339
702,909,580,498,1049,1544,931,496
995,1507,795,1057,1418,2167,1560,749
1503,2695,1313,1431,2384,3195,2338,1276
2605,4704,2553,2066,4012,6861,3156,2221
3020,6337,3277,2247,4262,7115,3111,2378
2309,3463,2871,2059,3346,4475,2391,1793
2110,3336,2390,1503,2916,4140,2087,1512
1831,3188,1831,1632,2370,4161,1976,1461
1605,2616,1658,1437,1643,2536,1586,1022
633,826,897,788,533,860,842,479
244,278,427,422,256,331,426,301
137,205,308,223,225,210,296,216
131,236,235,275,157,115,579,171
30,163,241,180,122,62,545,128
43,198,205,137,85,69,140,84
29,69,142,39,46,48,78,24
2,22,70,27,9,18,62,23
7,28,55,30,3,6,62,8
3,12,22,17,1,0,60,3
3,32,22,18,11,11,26,0
15,36,59,25,107,132,23,18
53,150,69,88,134,203,110,41
296,272,261,182,266,537,296,163
829,869,458,515,962,1339,641,375
677,1005,630,557,1006,1355,818,430
902,1263,799,955,1349,2163,1120,763
1362,2265,1425,1499,2165,3006,1865,1372
2762,4743,2480,2043,3802,6107,3050,2039
3113,5854,3383,2294,4260,6833,3287,2300
2297,3946,2883,1982,3201,4745,2528,1954
1839,3034,2852,1887,2681,4348,2493,1640
1593,2611,2357,1653,2251,4305,2167,1494
948,1917,1677,1398,2248,3981,1878,1009
451,735,892,882,864,1189,960,500
226,291,442,436,263,446,520,384
164,216,355,363,228,290,457,285
103,179,283,362,136,240,516,217
106,173,298,191,115,118,370,186
69,186,179,109,240,81,134,67
11,51,131,52,62,23,63,37
5,21,39,33,6,0,60,42
5,45,40,20,0,28,52,17
15,17,22,22,0,0,71,8
0,1,54,21,4,0,14,3
27,91,43,27,97,92,22,21
48,203,141,99,159,167,90,51
263,283,358,235,373,538,310,202
767,691,380,484,1103,1149,656,488
670,814,439,655,1383,1137,991,516
784,1632,737,1094,1855,1675,1538,906
1678,3211,1604,1635,2408,2560,2207,1204
3515,6834,4074,2116,4156,6366,3368,2173
3578,7597,5099,2068,4220,7115,3722,2198
2444,4163,4273,1628,3073,5450,3195,1948
1705,3120,3316,1777,2681,4358,2807,1738
1583,2772,2461,1765,2455,3218,2917,1529
1537,2470,1890,1589,1570,2289,2389,1227
763,989,1416,1055,766,989,1180,678
261,334,845,665,320,373,734,382
169,222,349,372,221,253,533,235
174,318,338,335,147,75,686,193
127,190,326,263,102,53,572,171
115,149,280,153,131,55,184,85
242,69,262,71,71,71,104,32
732,69,148,37,28,24,118,33
173,95,68,48,6,0,128,22
20,113,109,58,8,1,130,27
5,53,58,21,38,24,48,3
9,99,44,46,73,74,40,18
50,144,162,104,142,153,102,57
273,390,250,202,302,256,256,128
799,852,448,506,891,800,552,359
704,842,729,602,982,1170,876,534
1025,1353,976,1051,1644,2004,1638,934
1593,2495,1641,1651,2397,2905,2523,1387
3419,7100,4425,1992,3722,5716,3591,2009
4047,8450,6509,2009,3845,6556,3649,2233
2736,4062,4620,1494,3263,5719,3125,1988
2628,2982,4242,1586,2958,5009,2664,1815
1744,2627,2400,1744,2525,4181,2577,1666
508,1358,1802,1269,2295,3870,1949,1134
132,500,875,768,1223,1529,1030,412
298,336,515,459,360,349,579,742
224,241,398,402,248,272,599,351
197,331,455,476,174,105,708,418
174,297,582,337,237,74,537,330
124,253,641,264,278,78,231,257
27,127,446,192,319,71,110,160
39,121,390,132,147,18,92,98
45,113,246,128,57,1,71,89
22,64,234,116,27,1,75,48
43,53,117,57,61,12,32,10
10,22,82,30,28,25,8,33
28,47,78,48,50,58,77,47
95,148,128,106,151,261,79,86
286,178,78,317,875,649,273,309
561,1005,209,709,1865,1363,792,507
927,2668,752,1309,2697,2121,1784,1026
2020,5935,2470,1671,3320,3710,2878,1476
